Windows_10_Versions,Windows_10_Build,KB_Number,Release_Date
Windows 10 21H2 –10.0.19044.1415,19044.1415,KB5008212,14th Dec 2021
Windows 10 21H1 – 10.0.19043.1415,19043.1415,KB5008212,14th Dec 2021
Windows 10 20H2 – 10.0.19042.1415,19042.1415,KB5008212,14th Dec 2021
Windows 10 21H2 – GA – 10.0.19044.1379,19044.1379,,16th Nov 2021
Windows 10 21H1 – 10.0.19043.1379,19043.1379,,16th Nov 2021
Windows 10 20H2 – 10.0.19042.1348,19042.1348,KB5007186,
Windows 10 20H1 (2004) – 10.0.19041.1348,19041.1348,KB5007186,
Windows 10 21H2 Release Preview – 10.0.19044.1320,19044.132,KB5006738,
Windows 10 21H2 Pre Release – 10.0.19044.1319,19044.1319,KB5003791,Nov 2021 Patch Tuesday?
Windows 10 21H2 (preview) – 10.0.19044.1202,19044.1202,,"03th Sep, 2021"
Windows 10 21H2 (Insider) – 10.0.19044.1149,19044.1149,,"July 20th, 2021"
Windows 10 21H1 – 10.0.19043.985,19043.985,,"May 18th, 2021"
Windows 10 20H2 – 10.0.19042.572,19042.572,,"Oct 20th, 2020"
Windows 10 20H1 2004 – 10.0.19041.329,19041.329,,"May 27th, 2020"
Windows 10 1909 – 10.0.18363.900,18363.9,,Nov 12th 2019
Windows 10 1903 – 10.0.18362.900,18362.9,,"May 21st, 2019"
Windows 10 1809 ,17763,,13-Nov-18
Windows 10 1803 ,17134,,30-Apr-18
Windows 10 1709 ,16299,,17-Oct-17
Windows 10 1703 ,15063,,5-Apr-17
Windows 10 1607 ,14393,,2-Aug-16
Windows 10 1511 ,10586,,10-Nov-15
Windows 10 1507 ,10240,,29-Jul-15
